1590257197225.147461 0.000000
1590257202233.141113 -2.878296
1590257207238.275635 -3.576904
1590257212242.717773 -5.772339
1590257217244.952148 -5.395874
1590257222247.575195 -15.207520
1590257227240.374268 -9.629395
1590257232238.757568 -7.055054
1590257237239.715332 -6.296753
1590257242241.437500 -5.138672
1590257247244.305420 -15.117432
1590257252237.200684 -9.811890
1590257257235.401855 -7.159180
1590257262236.261719 -6.060425
1590257267238.207764 -5.574951
1590257272240.645508 -5.015137
1590257277243.643311 -16.792725
1590257282234.869629 -1.883545
1590257287241.319580 -1.883545
1590257292257.070557 -14.253296
1590257297250.830078 -9.918213
1590257302248.924561 -7.439819
1590257307249.497803 -6.255249
1590257312251.255127 -5.624390
1590257317253.643555 -14.834595
1590257322246.821777 -11.398071
1590257327243.436768 -9.731201
1590257332241.718262 -7.362427
1590257337242.368652 -5.533691
1590257342245.142578 -6.866211
1590257347256.417480 -6.866211
1590257352267.179443 -15.064087
1590257357260.128174 -9.583374
1590257362258.557617 -7.028809
1590257367259.541504 -6.315674
1590257372261.238770 -5.622559
1590257377263.628906 -4.827271
1590257382267.141357 -4.827271
1590257387280.077148 -15.035278
1590257392273.048340 -9.251709
1590257397271.815918 -7.398315
1590257402272.443359 -6.208862
1590257407274.240723 -5.142822
1590257412277.104248 -14.039307
1590257417271.430420 -14.039307
1590257422275.006348 -5.262817
1590257427277.756348 -5.439087
